[2021-02-24 11:05:37] [INFO] >> TestCase.py >> 第244行  - 用例15：修改客户状态 
[2021-02-24 11:05:40] [INFO] >> CustomerList.py >> 第445行  - 获取全部客户数据 
[2021-02-24 11:05:40] [INFO] >> Requests_util.py >> 第10行  - 请求参：[https://bot.91bihu.com/carbusiness/api/v1/customer/querylist{'pageIndex': 1, 'pageSize': 45, 'selectType': 1, 'topLabel': 'tab_quanbukehu', 'orderBy': {'orderByField': 'updateTime', 'orderByType': 'desc'}, 'isFllowUp': '', 'isDataLable': '', 'dataTag': '', 'dataTypeId': 0, 'lastMaintainDayRange': '', 'isMaintain': 1, 'isOpenGuanjia': 1, 'firstSearch': True}{}] 
[2021-02-24 11:06:48] [INFO] >> TestCase.py >> 第244行  - 用例15：修改客户状态 
[2021-02-24 11:06:53] [INFO] >> CustomerList.py >> 第445行  - 获取全部客户数据 
[2021-02-24 11:06:53] [INFO] >> Requests_util.py >> 第10行  - 请求参：[https://bot.91bihu.com/carbusiness/api/v1/customer/querylist{'pageIndex': 1, 'pageSize': 45, 'selectType': 1, 'topLabel': 'tab_quanbukehu', 'orderBy': {'orderByField': 'updateTime', 'orderByType': 'desc'}, 'isFllowUp': '', 'isDataLable': '', 'dataTag': '', 'dataTypeId': 0, 'lastMaintainDayRange': '', 'isMaintain': 1, 'isOpenGuanjia': 1, 'firstSearch': True}{}] 
[2021-02-24 11:07:36] [INFO] >> CustomerList.py >> 第617行  - 执行modify_state方法 
[2021-02-24 11:07:36] [INFO] >> Requests_util.py >> 第10行  - 请求参：[https://bot.91bihu.com/carbusiness/api/v1/customer/modifyCustomer{'pageIndex': 1, 'pageSize': 15, 'selectType': 1, 'topLabel': 'tab_quanbukehu', 'orderBy': {'orderByField': 'updateTime', 'orderByType': 'desc'}, 'isFllowUp': '', 'isDataLable': '', 'dataTag': '', 'dataTypeId': 0, 'lastMaintainDayRange': '', 'isMaintain': 1, 'isOpenGuanjia': 1, 'modifyCustomerStatus': 0, 'buids': [329876821]}{}] 
[2021-02-24 11:07:36] [INFO] >> CustomerList.py >> 第626行  - 客户状态修改成功：{'code': 1, 'message': '操作成功', 'data': None} 
[2021-02-24 11:07:36] [INFO] >> Requests_util.py >> 第10行  - 请求参：[https://bot.91bihu.com/carbusiness/api/v1/customer/querylist{'pageIndex': 1, 'pageSize': 45, 'buids': [329876821], 'selectType': 1, 'topLabel': 'tab_quanbukehu', 'orderBy': {'orderByField': 'updateTime', 'orderByType': 'desc'}, 'isFllowUp': '', 'isDataLable': '', 'dataTag': '', 'dataTypeId': 0, 'lastMaintainDayRange': '', 'isMaintain': 1, 'firstSearch': True}{}] 
[2021-02-24 11:07:36] [INFO] >> CustomerList.py >> 第633行  - 校验状态是否修改成功：{'data': [{'buid': 329876821, 'dueDays': {'forceDueDays': -75, 'bizDueDays': -75, 'maintainDays': -193, 'lastMaintainDays': None, 'qaDays': None}, 'quoteStatus': [{'status': 0, 'sourceId': 4}], 'submitStatus': [{'status': 0, 'sourceId': 4}], 'lastYearSource': 4, 'customerStatusId': 0, 'categoryinfoId': 40051, 'employeeId': 287523, 'wechatImg': None, 'renewalStatus': 0, 'createTime': '2019-11-29 10:34:42', 'isFllowUp': 2, 'customerStar': 0.0, 'taskTypeId': 0, 'taskTypeName': '', 'lastFollowUpUrl': '', 'followContentTypeId': 1, 'isIntelligentRenewal': 0, 'followContent': '', 'headImgUrl': '', 'nickName': '', 'deleteTime': '', 'delEmpName': '', 'deleteType': '', 'maintainEndDate': '2020-08-15', 'maintainStatus': 0, 'maintainCategoryName': '空值', 'maintainEmployeeId': 222523, 'maintainEmployeeName': '部门一管理', 'mileage': 35644, 'maintainDate': '', 'maintainStatusName': '首访客户', 'maintainDetName': '销售部', 'maintainClintLevelRmark': 'AA', 'maintainActive': '', 'maintainImportFollowUp': '', 'lastMaintainDate': '2020-06-15', 'lastMaintainDays': 255, 'licenseNo': '粤T85N70', 'clientName': '', 'carVin': 'LSGKB52H6JV050137', 'moldName': '雪佛兰SGM7152LAAA轿车', 'registerDate': '2017-12-15', 'lastBizEndDate': '2020-12-11 23:59:59', 'lastForceEndDate': '2020-12-11 23:59:59', 'followUpTimes': 1, 'lastFollowUpDate': '2019-11-29 16:58:47', 'lastFollowUpContent': '', 'plannedFollowUpDateTime': '2019-11-30 16:58:00', 'customerStatusName': '首访客户', 'categoryinfoName': '续转续', 'lastYearSourceName': '人保车险', 'lastOrganizationName': '中山市小榄支公司渠道业务部', 'employeeName': '自动化分配账号', 'departmentName': '销售部', 'updateTime': '2021-02-24 11:07:37', 'renewalTypeName': 'PC端录入', 'ownerName': '黄亮光'}], 'code': 1, 'message': '成功'} 
