[2021-01-07 18:12:49] [INFO] >> TestCase.py >> 第182行  - 用例：批量续保文件上传 
[2021-01-07 18:12:52] [INFO] >> CustomerList.py >> 第559行  - 上传文件 
[2021-01-07 18:12:52] [INFO] >> CustomerList.py >> 第566行  - 文件已上传到服务器：BatchRenewal/2021/1/7/171383/b277a2cd562d44bda667aeb94cec5403.xlsx 
[2021-01-07 18:12:52] [INFO] >> CustomerList.py >> 第567行  - 默认FindDeptId: 2869（部门ID），只适用于wanyuanhao账号，上传城市为【北京】 
[2021-01-07 18:12:53] [INFO] >> CustomerList.py >> 第575行  - 文件上传成功：{'data': {'isValid': True, 'name': '自动化上传.xlsx', 'batchRenewalId': 401337}, 'code': 1, 'message': '上传成功'} 
[2021-01-07 18:17:06] [INFO] >> TestCase.py >> 第182行  - 用例：批量续保文件上传 
[2021-01-07 18:17:07] [INFO] >> CustomerList.py >> 第559行  - 上传文件 
[2021-01-07 18:17:08] [INFO] >> CustomerList.py >> 第566行  - 文件已上传到服务器：BatchRenewal/2021/1/7/171383/697381f46206419abba829810c6bef09.xlsx 
[2021-01-07 18:17:08] [INFO] >> CustomerList.py >> 第567行  - 默认FindDeptId: 2869（部门ID），只适用于wanyuanhao账号，上传城市为【北京】 
[2021-01-07 18:17:08] [INFO] >> CustomerList.py >> 第575行  - 文件上传成功：{'data': {'isValid': True, 'name': '自动化上传.xlsx', 'batchRenewalId': 401338}, 'code': 1, 'message': '上传成功'} 
[2021-01-07 18:17:11] [INFO] >> CustomerList.py >> 第589行  - 通过上传结果response校验上传结果:[True, {'data': {'isValid': True, 'name': '自动化上传.xlsx', 'batchRenewalId': 401338}, 'code': 1, 'message': '上传成功'}] 
[2021-01-07 18:19:29] [INFO] >> TestCase.py >> 第182行  - 用例：批量续保文件上传 
[2021-01-07 18:19:30] [INFO] >> CustomerList.py >> 第559行  - 上传文件 
